Component, CC
org.jfree.data.KeyedValues2D,2
org.jfree.data.general.Dataset,3
org.jfree.data.time.Millisecond,5
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,10
org.jfree.chart.title.LegendItemBlockContainer,4
org.jfree.chart.JFreeChart,20
org.jfree.chart.urls.XYZURLGenerator,2
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,4
org.jfree.chart.labels.PieSectionLabelGenerator,3
org.jfree.chart.demo.BarChartDemo1,7
org.jfree.chart.util.LineUtilities,1
org.jfree.data.general.ValueDataset,2
org.jfree.data.category.DefaultCategoryDataset,6
org.jfree.data.KeyedValues,2
org.jfree.data.time.TimePeriodFormatException,2
org.jfree.data.statistics.SimpleHistogramBin,4
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,13
org.jfree.chart.plot.PlotUtilities,3
org.jfree.chart.block.CenterArrangement,3
org.jfree.chart.plot.dial.DialValueIndicator,7
org.jfree.chart.text.TextBox,7
org.jfree.chart.urls.StandardXYZURLGenerator,2
org.jfree.data.KeyedValueComparatorType,2
org.jfree.data.statistics.StatisticalCategoryDataset,3
org.jfree.data.KeyToGroupMap,3
org.jfree.chart.encoders.ImageEncoderFactory,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,3
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,4
org.jfree.chart.text.TextBlock,5
org.jfree.data.time.TimePeriodAnchor,2
org.jfree.chart.panel.RegionSelectionHandler,4
org.jfree.chart.plot.CombinedDomainCategoryPlot,11
org.jfree.chart.plot.GreyPalette,1
org.jfree.data.pie.SelectablePieDataset,1
org.jfree.data.xy.YIntervalDataItem,2
org.jfree.chart.servlet.ChartDeleter,2
org.jfree.chart.renderer.category.StackedBarRenderer,10
org.jfree.chart.util.PaintUtilities,3
org.jfree.data.xy.XYIntervalSeries,2
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,2
org.jfree.chart.renderer.category.StackedBarRenderer3D,11
org.jfree.chart.entity.XYItemEntity,2
org.jfree.chart.plot.CombinedRangeCategoryPlot,10
org.jfree.chart.plot.CategoryCrosshairState,2
org.jfree.chart.util.HashUtilities,2
org.jfree.data.statistics.Statistics,2
org.jfree.chart.util.LogFormat,5
org.jfree.chart.axis.PeriodAxisLabelInfo,7
org.jfree.chart.event.ChartChangeListener,2
org.jfree.chart.axis.DateAxis,15
org.jfree.chart.ClipPath,1
org.jfree.chart.ui.Licences,3
org.jfree.chart.renderer.xy.XYItemRendererState,8
org.jfree.chart.editor.ChartEditorFactory,2
org.jfree.chart.plot.Plot,14
org.jfree.data.category.SlidingCategoryDataset,5
org.jfree.chart.LegendItemSource,2
org.jfree.data.xy.VectorSeries,4
org.jfree.chart.plot.ContourValuePlot,1
org.jfree.chart.plot.CompassPlot,7
org.jfree.data.xy.DefaultWindDataset,3
org.jfree.chart.title.ShortTextTitle,2
org.jfree.chart.renderer.xy.WindItemRenderer,8
org.jfree.data.xy.XYDomainInfo,1
org.jfree.chart.renderer.xy.StackedXYBarRenderer,9
org.jfree.chart.panel.AbstractMouseHandler,1
org.jfree.chart.axis.TickUnit,3
org.jfree.chart.plot.PieSelectionAttributes,1
org.jfree.chart.editor.ChartEditor,2
org.jfree.data.category.CategoryRangeInfo,1
org.jfree.chart.plot.dial.DialPointer,6
org.jfree.chart.renderer.category.CategoryItemRendererState,7
org.jfree.chart.util.GradientPaintTransformType,3
org.jfree.chart.util.PublicCloneable,3
org.jfree.chart.plot.CrosshairState,5
org.jfree.chart.entity.PlotEntity,1
org.jfree.data.time.TimeTableXYDataset,9
org.jfree.chart.plot.Zoomable,2
org.jfree.chart.block.BlockResult,2
org.jfree.chart.plot.ColorPalette,1
org.jfree.data.xy.DefaultXYDataset,5
org.jfree.chart.util.ShadowGenerator,1
org.jfree.chart.StrokeMap,5
org.jfree.data.xy.IntervalXYDataset,4
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,3
org.jfree.chart.renderer.WaferMapRenderer,3
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,4
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,7
org.jfree.chart.renderer.xy.HighLowRenderer,9
org.jfree.chart.entity.LegendItemEntity,4
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,4
org.jfree.chart.axis.DateTickUnit,7
org.jfree.chart.ChartMouseListener,2
org.jfree.chart.labels.StandardCrosshairLabelGenerator,1
org.jfree.chart.labels.AbstractXYItemLabelGenerator,5
org.jfree.chart.plot.dial.DialScale,3
org.jfree.chart.util.RelativeDateFormat,3
org.jfree.chart.annotations.XYLineAnnotation,6
org.jfree.chart.util.HorizontalAlignment,3
org.jfree.chart.renderer.category.CategoryStepRenderer,7
org.jfree.chart.axis.CyclicNumberAxis,6
org.jfree.chart.axis.Axis,12
org.jfree.chart.ChartMouseEvent,2
org.jfree.chart.editor.DefaultNumberAxisEditor,5
org.jfree.data.general.SubSeriesDataset,3
org.jfree.chart.axis.MonthDateFormat,2
org.jfree.data.resources.DataPackageResources_de,2
org.jfree.chart.BufferedImageRenderingSource,2
org.jfree.data.event.SeriesChangeListener,1
org.jfree.chart.title.ImageTitle,6
org.jfree.chart.event.AnnotationChangeListener,1
org.jfree.data.xy.XYSeries,11
org.jfree.data.gantt.XYTaskDataset,4
