Component, CC
edu.umd.cs.findbugs.classfile.analysis.EnumValue,2
edu.umd.cs.findbugs.gui2.SorterTableColumnModel,8
edu.umd.cs.findbugs.classfile.engine.bcel.UnpackedCode,2
edu.umd.cs.findbugs.ba.AbstractDataflowAnalysis,2
edu.umd.cs.findbugs.detect.PreferZeroLengthArrays,2
edu.umd.cs.findbugs.sourceViewer.NumberedParagraphView,2
edu.umd.cs.findbugs.ObfuscateTest,3
edu.umd.cs.findbugs.classfile.engine.bcel.BackwardTypeQualifierDataflowFactoryFactory,2
edu.umd.cs.findbugs.detect.UnnecessaryMath,3
edu.umd.cs.findbugs.gui2.SaveType,3
edu.umd.cs.findbugs.TigerSubstitutes,2
edu.umd.cs.findbugs.gui2.TabbedLayout,3
edu.umd.cs.findbugs.gui2.SwingThread,1
edu.umd.cs.findbugs.model.ClassFeatureSet,2
edu.umd.cs.findbugs.gui2.FindBugsFilterFileFilter,2
edu.umd.cs.findbugs.Token,2
edu.umd.cs.findbugs.cloud.BugFilingHelper,4
edu.umd.cs.findbugs.bugReporter.MaxRankDecorator,5
edu.umd.cs.findbugs.ba.MethodBytecodeSet,2
edu.umd.cs.findbugs.UsageTracker,18
edu.umd.cs.findbugs.gui2.AnalysisCallback,2
edu.umd.cs.findbugs.anttask.AbstractFindBugsTask,8
edu.umd.cs.findbugs.detect.FinalizerNullsFields,3
edu.umd.cs.findbugs.anttask.FindBugsTask,12
edu.umd.cs.findbugs.ba.ForwardDataflowAnalysis,2
edu.umd.cs.findbugs.ba.ClassContext,13
edu.umd.cs.findbugs.ba.ch.InheritanceEdge,2
edu.umd.cs.findbugs.classfile.engine.AbstractFieldAnnotationVisitor,2
edu.umd.cs.findbugs.ExcludingHashesBugReporter,3
edu.umd.cs.findbugs.ba.npe2.TestNullnessValue,3
edu.umd.cs.findbugs.ba.AbstractField,2
edu.umd.cs.findbugs.detect.SynchronizationOnSharedBuiltinConstant,8
edu.umd.cs.findbugs.gui2.Driver,6
edu.umd.cs.findbugs.ba.obl.MatchObligationParametersEntry,1
edu.umd.cs.findbugs.UpdateCheckCallback,2
edu.umd.cs.findbugs.cloud.BugFiler,5
edu.umd.cs.findbugs.ba.DFSCFGPrinter,2
edu.umd.cs.findbugs.props.WarningPropertyUtil,3
edu.umd.cs.findbugs.gui.BugCellRenderer,1
edu.umd.cs.findbugs.ba.CheckReturnAnnotationDatabase,14
edu.umd.cs.findbugs.io.SlowInputStream,4
