Component, CC
org.gjt.sp.jedit.bsh.BSHFormalParameters,3
org.gjt.sp.jedit.search.CurrentBufferSet,10
bsh.BSHEnhancedForStatement,4
org.gjt.sp.jedit.search.SearchBar,69
org.gjt.sp.jedit.bsh.BSHArrayDimensions,3
org.gjt.sp.jedit.io.LocalFileSaveTask,1
org.gjt.sp.jedit.gui.DockableWindowManagerImpl,12
org.gjt.sp.jedit.PerspectiveManager,58
jars.QuickNotepad.QuickNotepadTextArea,8
com.loomcom.ant.tasks.jarbundler.AppBundleProperties,2
org.gjt.sp.util.IOUtilities,19
org.gjt.sp.jedit.gui.AboutDialog,51
bsh.ClassIdentifier,2
jars.MacOS.com.apple.cocoa.foundation.NSMutableDictionary,4
org.gjt.sp.jedit.browser..VFSBrowser,4
org.gjt.sp.jedit.textarea.InputMethodSupport,11
org.gjt.sp.jedit.bsh.collection.CollectionManagerImpl,3
org.gjt.sp.jedit.gui.AnimatedIcon,12
org.gjt.sp.jedit.bsh.This,4
org.gjt.sp.jedit.buffer.KillRing,49
org.gjt.sp.jedit.input.AbstractInputHandler,12
installer.TarOutputStream,4
org.gjt.sp.jedit.BeanShell,105
gnu.regexp.RETokenLookAhead,4
jars.MacOS.macos.Delegate,26
org.gjt.sp.jedit.menu.FavoritesProvider,11
org.gjt.sp.jedit.bsh.UtilEvalError,4
org.gjt.sp.jedit.bsh.BSHLiteral,4
org.gjt.sp.jedit.syntax.SyntaxUtilities,5
gnu.regexp.RESyntax,6
bsh.BSHTypedVariableDeclaration,8
org.gjt.sp.jedit.buffer.BufferAutosaveRequest,5
org.gjt.sp.jedit.textarea.StructureMatcher,19
org.gjt.sp.jedit.textarea.Node,1
org.gjt.sp.jedit.bsh.org.objectweb.asm.Label,3
jars.MacOS.macos.menu.ShowRecentDirMenu,4
org.gjt.sp.jedit.EditAction,60
jars.QuickNotepad.QuickNotepadActions,8
org.gjt.sp.jedit.gui.statusbar.Widget,3
jars.MacOS.macos.MacOSActions,12
org.gjt.sp.jedit.menu.DirectoryProvider,10
bsh.ReturnControl,4
org.gjt.sp.jedit.EditServer,59
bsh.ParserConstants,10
org.gjt.sp.jedit.buffer.JEditBuffer,73
org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider,6
gnu.regexp.RETokenEnd,2
jars.MacOS.macos.menu.ShowRecentMenu,8
org.gjt.sp.jedit.options.FirewallOptionPane,12
org.gjt.sp.jedit.msg.MacrosChanged,6
org.gjt.sp.jedit.msg.VFSPathSelected,8
org.gjt.sp.jedit.bsh.org.objectweb.asm.Edge,3
org.gjt.sp.jedit.bsh.Modifiers,3
org.gjt.sp.jedit.View,375
bsh.ClassGeneratorUtil,6
org.gjt.sp.jedit.bsh.ReturnControl,3
org.gjt.sp.jedit.gui.tray.JTrayIcon,3
org.gjt.sp.jedit.gui.tray.JTrayIconManager,6
org.gjt.sp.jedit.options.MirrorList,4
org.gjt.sp.jedit.io.EncodingWithBOM,5
org.gjt.sp.jedit.bufferset.BufferSetAdapter,3
org.gjt.sp.jedit.gui.ContextAddDialog,6
org.gjt.sp.jedit.search.PatternSearchMatcher,23
org.gjt.sp.jedit.io.VFS,141
org.gjt.sp.jedit.io.XMLEncodingDetector,5
org.gjt.sp.jedit.gui.JEditMetalTheme,8
org.gjt.sp.jedit.bsh.UtilTargetError,3
org.gjt.sp.jedit.gui.PasteSpecialDialog,2
bsh.ExternalNameSpace,2
