Component, CC
org.mozilla.javascript.jdk13.VMBridge_jdk13,4
src.org.mozilla.javascript.tests.JsTestsTest,4
src.org.mozilla.javascript.drivers.JsDriver,11
src.org.mozilla.javascript.tests.commonjs.module.RequireTest,2
src.org.mozilla.javascript.tests.NativeStringTest,3
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLCtor,2
org.mozilla.javascript.NodeTransformer,17
org.mozilla.javascript.annotations.JSGetter,1
org.mozilla.javascript.commonjs.module.provider.UrlConnectionSecurityDomainProvider,4
src.org.mozilla.javascript.tools.jsc.Main,4
src.org.mozilla.javascript.tools.shell.ShellLine,6
org.mozilla.javascript.ast.Symbol,2
org.mozilla.javascript.commonjs.module.provider.ParsedContentType,4
org.mozilla.javascript.classy.ClassyScriptable,6
org.mozilla.javascript.ast.VariableDeclaration,2
src.org.mozilla.javascript.tests.MozillaSuiteTest,4
org.mozilla.javascript.ast.Jump,1
org.mozilla.javascript.optimizer.OptRuntime,7
org.mozilla.javascript.ast.IfStatement,1
org.mozilla.javascript.UintMap,1
org.mozilla.javascript.ast.StringLiteral,2
org.mozilla.javascript.commonjs.module.provider.MultiModuleScriptProvider,5
src.org.mozilla.javascript.tests.ParserTest,13
org.mozilla.javascript.ast.Loop,1
mplsrc.org.mozilla.javascript.xmlimpl.XmlProcessor,15
org.mozilla.javascript.ConstProperties,3
org.mozilla.javascript.NativeClassyObject,1
org.mozilla.javascript.RhinoSecurityManager,2
org.mozilla.javascript.debug.DebugFrame,1
org.mozilla.javascript.ast.DoLoop,1
src.org.mozilla.javascript.drivers.JsTestsBase,3
org.mozilla.javascript.ast.XmlString,2
src.org.mozilla.javascript.testing.TestErrorReporter,1
org.mozilla.javascript.ast.Assignment,1
org.mozilla.javascript.JavaMembers,21
org.mozilla.javascript.annotations.JSConstructor,1
org.mozilla.javascript.ClassCache,6
src.org.mozilla.javascript.tools.debugger.SourceProvider,1
org.mozilla.javascript.TokenStream,17
org.mozilla.javascript.EvaluatorException,1
src.org.mozilla.javascript.tests.PrimitiveTypeScopeResolutionTest,4
src.org.mozilla.javascript.tests.Bug496585,1
src.org.mozilla.javascript.tests.es5.ObjectKeysTest,1
org.mozilla.javascript.Evaluator,3
src.org.mozilla.javascript.tests.GeneratedClassNameTest,2
src.org.mozilla.javascript.tests.Bug492525Test,1
org.mozilla.javascript.NativeBoolean,5
org.mozilla.javascript.ContinuationPending,5
src.org.mozilla.javascript.tests.Bug419940Test,4
org.mozilla.javascript.SecurityUtilities,3
org.mozilla.javascript.ast.KeywordLiteral,1
org.mozilla.javascript.DefiningClassLoader,3
org.mozilla.javascript.NativeGlobal,13
org.mozilla.javascript.ImporterTopLevel,4
org.mozilla.javascript.ast.UnaryExpression,1
org.mozilla.javascript.regexp.RegExpImpl,8
src.org.mozilla.javascript.tests.json.JsonParserTest,3
org.mozilla.javascript.NativeFunction,8
src.org.mozilla.javascript.tests.CustomSetterAcceptNullScriptableTest,3
src.org.mozilla.javascript.tests.StackTraceTest,3
org.mozilla.javascript.ast.ConditionalExpression,1
org.mozilla.javascript.BaseFunction,19
src.org.mozilla.javascript.tools.debugger.ScopeProvider,1
org.mozilla.javascript.ast.XmlDotQuery,1
org.mozilla.javascript.WrapFactory,3
org.mozilla.javascript.CompilerEnvirons,9
src.org.mozilla.javascript.tools.shell.Main,20
org.mozilla.javascript.NativeObject,18
src.org.mozilla.javascript.tools.shell.Global,20
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.LogicalEquality,1
org.mozilla.javascript.GeneratedClassLoader,2
src.org.mozilla.javascript.tests.JavaAcessibilityTest,7
org.mozilla.javascript.Script,1
src.org.mozilla.javascript.tools.debugger.SwingGui,11
org.mozilla.javascript.Context,38
src.org.mozilla.javascript.tests.ContinuationsApiTest,5
org.mozilla.javascript.RhinoException,13
src.org.mozilla.javascript.tools.debugger.treetable.TreeTableModel,2
mplsrc.org.mozilla.javascript.xmlimpl.Namespace,7
org.mozilla.javascript.NativeCall,4
mplsrc.org.mozilla.javascript.xmlimpl.XMLLibImpl,10
org.mozilla.javascript.ast.Name,1
org.mozilla.javascript.commonjs.module.provider.ModuleSourceProviderBase,4
org.mozilla.javascript.NativeArray,46
org.mozilla.javascript.optimizer.OptTransformer,4
org.mozilla.javascript.ast.ExpressionStatement,1
src.org.mozilla.javascript.tests.GeneratedMethodNameTest,2
org.mozilla.javascript.Token,11
org.mozilla.javascript.ast.LabeledStatement,2
org.mozilla.javascript.ContextFactory,18
org.mozilla.javascript.ast.InfixExpression,1
org.mozilla.javascript.ast.ThrowStatement,1
src.org.mozilla.javascript.tests.DefineFunctionPropertiesTest,4
src.org.mozilla.javascript.tools.idswitch.SwitchGenerator,3
org.mozilla.javascript.ast.Yield,1
org.mozilla.javascript.ast.ReturnStatement,1
src.org.mozilla.javascript.tests.ClassShutterExceptionTest,5
org.mozilla.javascript.ast.ElementGet,1
org.mozilla.javascript.commonjs.module.RequireBuilder,5
org.mozilla.classfile.ClassFileWriter,18
