Component, CC
org.jfree.chart.renderer.xy.XYBlockRenderer,11
org.jfree.chart.plot.dial.StandardDialScale,11
org.jfree.chart.axis.CompassFormat,7
org.jfree.chart.axis.AxisSpace,5
org.jfree.chart.plot.CombinedRangeXYPlot,17
org.jfree.chart.plot.XYCrosshairState,5
org.jfree.chart.plot.PieLabelDistributor,8
org.jfree.chart.MouseWheelHandler,9
org.jfree.chart.plot.dial.StandardDialFrame,8
org.jfree.data.xy.YIntervalSeriesCollection,6
org.jfree.chart.axis.ValueAxis,24
org.jfree.data.time.Day,10
org.jfree.data.xy.YWithXInterval,5
org.jfree.chart.axis.Tick,6
org.jfree.chart.renderer.AreaRendererEndType,5
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,6
org.jfree.chart.axis.MarkerAxisBand,5
org.jfree.data.contour.DefaultContourDataset,5
org.jfree.chart.DrawableLegendItem,4
org.jfree.chart.PolarChartPanel,6
org.jfree.chart.needle.MiddlePinNeedle,6
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,8
org.jfree.chart.title.LegendTitle,12
org.jfree.chart.util.ParamChecks,6
org.jfree.chart.block.LineBorder,8
org.jfree.data.general.DatasetChangeListener,4
org.jfree.data.xml.DatasetTags,4
org.jfree.chart.renderer.category.StandardBarPainter,6
org.jfree.chart.annotations.XYAnnotationBoundsInfo,4
org.jfree.chart.plot.JThermometer,4
org.jfree.chart.labels.XYItemLabelGenerator,4
org.jfree.chart.block.BlockBorder,5
org.jfree.data.xml.KeyHandler,5
org.jfree.data.KeyedValueComparator,7
org.jfree.chart.axis.PeriodAxis,18
org.jfree.chart.plot.RingPlot,14
org.jfree.chart.fx.interaction.PanHandlerFX,1
org.jfree.chart.renderer.xy.XYStepAreaRenderer,12
org.jfree.chart.axis.AxisLocation,7
org.jfree.chart.event.ChartProgressListener,4
org.jfree.chart.plot.FastScatterPlot,13
org.jfree.chart.axis.CategoryAxis,22
org.jfree.data.xml.PieDatasetHandler,5
org.jfree.chart.plot.AbstractPieLabelDistributor,4
org.jfree.chart.block.BorderArrangement,9
org.jfree.data.statistics.BoxAndWhiskerXYDataset,5
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,14
org.jfree.chart.event.AnnotationChangeEvent,4
org.jfree.chart.plot.CombinedDomainXYPlot,18
org.jfree.chart.entity.JFreeChartEntity,4
org.jfree.chart.annotations.CategoryAnnotation,6
org.jfree.chart.annotations.XYAnnotation,6
org.jfree.chart.axis.ModuloAxis,7
org.jfree.chart.util.TextUtils,1
org.jfree.chart.demo.PieChartDemo1,12
org.jfree.chart.editor.PaletteSample,5
org.jfree.chart.labels.AbstractPieItemLabelGenerator,7
org.jfree.chart.title.LegendGraphic,7
org.jfree.chart.plot.dial.DialFrame,6
org.jfree.chart.urls.StandardXYURLGenerator,5
org.jfree.chart.renderer.PaintScale,4
org.jfree.chart.plot.DrawingSupplier,4
org.jfree.chart.plot.dial.DialBackground,8
org.jfree.chart.plot.DialShape,6
org.jfree.data.time.RegularTimePeriod,8
org.jfree.chart.LegendRenderingOrder,5
org.jfree.chart.fx.interaction.ChartMouseEventFX,3
org.jfree.chart.urls.CategoryURLGenerator,5
org.jfree.data.xy.IntervalXYDelegate,8
org.jfree.chart.renderer.AbstractRenderer,20
org.jfree.data.time.Minute,9
org.jfree.chart.renderer.xy.XYLine3DRenderer,6
org.jfree.data.xy.XYDatasetTableModel,4
org.jfree.data.gantt.TaskSeries,6
