Component, CC
obsolete.edu.umd.cs.findbugs.gui.BugCellRenderer,4
java.edu.umd.cs.findbugs.annotations.DefaultAnnotationForParameters,5
java.edu.umd.cs.findbugs.detect.NoteJCIPAnnotation,6
java.edu.umd.cs.findbugs.bugReporter.BugReporterPlugin,5
java5.edu.umd.cs.findbugs.gui2.MainFrameTree,4
java.edu.umd.cs.findbugs.plan.SingleDetectorFactorySelector,2
java.edu.umd.cs.findbugs.UsageTrackerCallback,2
tools.edu.umd.cs.findbugs.tools.CheckClassfileVersion,8
java.edu.umd.cs.findbugs.ba.DefaultNullnessAnnotations,29
java.edu.umd.cs.findbugs.classfile.engine.bcel.UnpackedCodeFactory,2
java.edu.umd.cs.findbugs.detect.DoomedCodeWarningProperty,3
java.edu.umd.cs.findbugs.graph.SearchTreeCallback,2
java.edu.umd.cs.findbugs.SwitchHandler,6
java.edu.umd.cs.findbugs.ba.XMethodParameter,2
java.edu.umd.cs.findbugs.ba.ExceptionHandlerMap,3
java.edu.umd.cs.findbugs.config.UserPreferences,11
java.edu.umd.cs.findbugs.graph.ReverseDepthFirstSearch,2
java.edu.umd.cs.findbugs.ba.UnresolvedXField,5
java.edu.umd.cs.findbugs.ba.jsr305.ForwardTypeQualifierDataflowFactory,6
antTask.edu.umd.cs.findbugs.anttask.ComputeBugHistoryTask,2
java.edu.umd.cs.findbugs.StackMapAnalyzer,5
java.edu.umd.cs.findbugs.ba.ComparableMethod,1
java5.edu.umd.cs.findbugs.gui2.BugLoader,24
java.edu.umd.cs.findbugs.detect.TestingGround,20
java.edu.umd.cs.findbugs.ba.ReverseDFSOrder,4
java.edu.umd.cs.findbugs.classfile.engine.bcel.EngineRegistrar,8
gui.edu.umd.cs.findbugs.gui2.CloudCommentsPane,30
java.edu.umd.cs.findbugs.classfile.engine.bcel.ReturnPathTypeDataflowFactory,2
junit.edu.umd.cs.findbugs.ba.MethodHashTest,2
gui.edu.umd.cs.findbugs.gui2.NewFilterFromBug,2
java.edu.umd.cs.findbugs.detect.CheckImmutableAnnotation,3
java.edu.umd.cs.findbugs.detect.ComparatorIdiom,3
java5.edu.umd.cs.findbugs.workflow.MergeSummarizeAndView,6
junit.edu.umd.cs.findbugs.ba.generic.TestGenericSignatureParser,2
java.edu.umd.cs.findbugs.detect.ConfusionBetweenInheritedAndOuterMethod,5
java.edu.umd.cs.findbugs.detect.BCPMethodReturnCheck,3
java.edu.umd.cs.findbugs.FindBugsDisplayFeatures,2
java.edu.umd.cs.findbugs.ba.CFGBuilderException,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.ParameterSignatureListFactory,2
java.edu.umd.cs.findbugs.gui.FindBugsFrame,8
java.edu.umd.cs.findbugs.annotations.SuppressFBWarnings,4
java.edu.umd.cs.findbugs.ba.PostDominatorsAnalysis,2
java.edu.umd.cs.findbugs.xml.OutputStreamXMLOutput,7
java.edu.umd.cs.findbugs.ba.FieldSummary,20
java.edu.umd.cs.findbugs.workflow.SetBugDatabaseInfo,16
java.edu.umd.cs.findbugs.detect.CloneIdiom,5
java.edu.umd.cs.findbugs.ba.bcp.Variable,2
java.edu.umd.cs.findbugs.ba.ch.OverriddenMethodsVisitor,4
java.edu.umd.cs.findbugs.classfile.engine.asm.package-info,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.StoreDataflowFactory,2
java.edu.umd.cs.findbugs.ba.npe2.IfNullCondition,2
java.edu.umd.cs.findbugs.detect.ReadOfInstanceFieldInMethodInvokedByConstructorInSuperclass,17
java.edu.umd.cs.findbugs.classfile.engine.bcel.LockDataflowFactory,2
java.edu.umd.cs.findbugs.detect.FindUnreleasedLock,5
java.edu.umd.cs.findbugs.classfile.CheckedAnalysisException,2
java.edu.umd.cs.findbugs.log.ConsoleLogger,3
junit.edu.umd.cs.findbugs.gui2.HashListTest,1
junit.edu.umd.cs.findbugs.RunnableWithExceptions,1
java.edu.umd.cs.findbugs.AbstractBugReporter,13
java.edu.umd.cs.findbugs.classfile.MethodDescriptor,8
java.edu.umd.cs.findbugs.ba.ZipSourceFileDataSource,3
java.edu.umd.cs.findbugs.ba.obl.Obligation,3
java.edu.umd.cs.findbugs.ba.XMethod,17
java.edu.umd.cs.findbugs.gui.DefaultSortedTableModel,1
java.edu.umd.cs.findbugs.cloud.Cloud,72
java.edu.umd.cs.findbugs.plan.ExecutionPlan,7
java.edu.umd.cs.findbugs.classfile.analysis.MethodInfo,29
java.edu.umd.cs.findbugs.ba.npe.ReturnPathTypeAnalysis,2
java.edu.umd.cs.findbugs.annotations.CheckReturnValue,4
java.edu.umd.cs.findbugs.visitclass.PreorderVisitor,16
java.edu.umd.cs.findbugs.graph.DFSEdgeTypes,2
java.edu.umd.cs.findbugs.Priorities,3
java.edu.umd.cs.findbugs.StatelessDetector,2
java.edu.umd.cs.findbugs.ba.jsr305.TypeQualifierValueSet,9
java.edu.umd.cs.findbugs.detect.SwitchFallthrough,20
java.edu.umd.cs.findbugs.detect.FindRunInvocations,4
java.edu.umd.cs.findbugs.PackageWarningSuppressor,2
java.edu.umd.cs.findbugs.ClassScreener,4
java.edu.umd.cs.findbugs.workflow.FB,3
java.edu.umd.cs.findbugs.classfile.IClassConstants,2
obsolete.edu.umd.cs.findbugs.gui.ConfigureDetectorsDialog,3
java.edu.umd.cs.findbugs.detect.WrongMapIterator,3
java.edu.umd.cs.findbugs.ba.type.TypeFrameModelingVisitor,70
java.edu.umd.cs.findbugs.detect.FindSpinLoop,2
java.edu.umd.cs.findbugs.ba.jsr305.TypeQualifierApplications,30
java.edu.umd.cs.findbugs.plan.ConstraintEdge,2
gui.edu.umd.cs.findbugs.gui2.SplashFrame,1
java.edu.umd.cs.findbugs.AddAnnotation,10
java.edu.umd.cs.findbugs.detect.DuplicateBranches,4
java.edu.umd.cs.findbugs.detect.EmptyZipFileEntry,4
java.edu.umd.cs.findbugs.workflow.BackdateHistoryUsingSource,9
java.edu.umd.cs.findbugs.plan.ConstraintGraph,2
java.edu.umd.cs.findbugs.bcel.generic.NONNULL2Z,2
java.edu.umd.cs.findbugs.detect.BadResultSetAccess,4
gui.edu.umd.cs.findbugs.gui2.WideComboBox,2
java.edu.umd.cs.findbugs.model.IdentityClassNameRewriter,2
java.edu.umd.cs.findbugs.ba.npe.MayReturnNullPropertyDatabase,2
java.edu.umd.cs.findbugs.ba.jsr305.BackwardTypeQualifierDataflowFactory,6
