Component, CC
net.sf.jabref.gui.FileListEntryEditor,20
net.sf.jabref.DisplayPanel,2
net.sf.jabref.external.DownloadExternalFile,17
tests.net.sf.jabref.export.layout.RTFCharsTest,3
net.sf.jabref.external.RegExpFileSearch,2
net.sf.jabref.groups.GroupTreeCellRenderer,15
antlr.TokenStreamIOException,2
net.sf.jabref.StringDialog,16
net.sf.jabref.ImportFormatReader,7
net.sf.jabref.external.PushToVim,8
net.sf.jabref.gui.components.JPanelYBox,2
net.sf.jabref.export.layout.format.DOICheck,2
tests.net.sf.jabref.export.layout.format.AuthorFirstLastOxfordCommasTest,1
net.sf.jabref.imports.CheckForNewEntryTypesAction,4
tests.net.sf.jabref.export.layout.format.NoSpaceBetweenAbbreviationsTest,1
tests.net.sf.jabref.search.AllTests,1
net.sf.jabref.groups.UndoableMoveGroup,3
net.sf.jabref.imports.ScienceDirectFetcher,1
antlr.RuleSymbol,2
antlr.TokenBuffer,2
antlr.CharQueue,2
com.incors.plaf.kunststoff.KunststoffComboBoxUI,2
net.sf.jabref.collab.EntryDeleteChange,7
net.sf.jabref.util.NameListNormalizer,1
net.sf.jabref.SendAsEMailAction,1
antlr.debug.TraceListener,1
net.sf.jabref.ParserResult,1
antlr.debug.ParserTokenEvent,1
antlr.collections.impl.ASTArray,1
net.sf.jabref.FieldEditor,10
net.sf.jabref.EntryEditorTab,39
tests.net.sf.jabref.export.layout.format.AuthorAndsCommaReplacerTest,1
gnu.dtools.ritopt.Stoppable,1
net.sf.jabref.imports.AppendDatabaseAction,9
net.sf.jabref.collab.FileUpdateListener,1
tests.net.sf.jabref.imports.CopacImporterTest,3
net.sf.jabref.BibtexFields,12
net.sf.jabref.imports.JstorImporter,6
tests.net.sf.jabref.FileBasedTestCase,5
net.sf.jabref.export.xml.src.net.sf.jabref.export.xml.JabRefXmlPlugin,1
antlr.debug.InputBufferReporter,1
net.sf.jabref.labelPattern.DefaultLabelPatterns,4
antlr.TokenManager,2
gnu.dtools.ritopt.IntOption,1
net.sf.jabref.external.FindFullText,4
net.sf.jabref.groups.EntryTableTransferHandler,23
net.sf.jabref.util.TBuildInfo,3
net.sf.jabref.export.FieldFormatter,3
net.sf.jabref.imports.dblppp.test.net.sf.jabref.imports.dblppp.QueristTest,2
com.incors.plaf.kunststoff.KunststoffTextFieldUI,1
net.sf.jabref.gui.components.JPanelXBox,1
net.sf.jabref.gui.FileListEntry,2
net.sf.jabref.collab.StringAddChange,6
net.sf.jabref.export.layout.format.RemoveLatexCommands,5
antlr.ParseTreeRule,1
antlr.OneOrMoreBlock,2
net.sf.jabref.GeneralTab,54
net.sf.jabref.export.layout.format.ConvertSpecialCharactersForXML,4
antlr.debug.ParserReporter,1
tests.net.sf.jabref.labelPattern.LabelPatternUtilTest,2
net.sf.jabref.imports.ImportInspector,2
net.sf.jabref.oo.BstWrapper,2
antlr.CSharpCodeGenerator,1
net.sf.jabref.about.NewAboutAction,3
net.sf.jabref.bst.BibtexNameFormatter,1
net.sf.jabref.net.CookieHandlerImpl,2
antlr.collections.AST,1
antlr.TokenWithIndex,1
antlr.debug.GuessingEvent,1
antlr.SatherCharFormatter,2
net.sf.jabref.imports.TextAnalyzer,3
net.sf.jabref.FieldComparatorStack,2
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.dblppp.generated._JabRefDBLPppPlugin,2
antlr.debug.ParserAdapter,1
gnu.dtools.ritopt.FloatOption,1
net.sf.jabref.external.WriteXMPEntryEditorAction,2
net.sf.jabref.gui.FileListEditor,29
net.sf.jabref.PrefsDialog,2
net.sf.jabref.ClipBoardManager,3
antlr.BlockContext,2
tests.net.sf.jabref.export.layout.format.AuthorFirstAbbrLastCommasTest,1
net.sf.jabref.export.FileActions,60
net.sf.jabref.journals.JournalAbbreviations,14
net.sf.jabref.groups.GroupsPrefsTab,5
antlr.debug.InputBufferListener,1
net.sf.jabref.label.InproceedingsLabelRule,3
antlr.debug.ParserTokenListener,1
gnu.dtools.ritopt.OptionException,1
net.sf.jabref.MnemonicAwareAction,5
net.sf.jabref.export.MySqlExport,2
net.sf.jabref.export.layout.format.Replace,3
net.sf.jabref.SplashScreen,10
gnu.dtools.ritopt.BooleanOption,2
tests.net.sf.jabref.util.AllTests,1
net.sf.jabref.SearchTextListener,2
antlr.ParseTree,1
net.sf.jabref.journals.ManageJournalsAction,4
gnu.dtools.ritopt.OptionRegistrationException,1
net.sf.jabref.wizard.text.gui.OverlayPanel,4
net.sf.jabref.imports.BooleanAssign,2
net.sf.jabref.export.layout.format.FixAuthorForHTML,2
net.sf.jabref.external.PushToLatexEditor,10
net.sf.jabref.groups.UndoableChangeAssignment,7
antlr.debug.ParserMatchListener,1
com.incors.plaf.kunststoff.KunststoffPasswordFieldUI,1
tests.net.sf.jabref.BibtexDatabaseTest,1
net.sf.jabref.oo.AutoDetectPaths,1
com.incors.plaf.kunststoff.KunststoffGradientTheme,2
net.sf.jabref.export.IExportFormat,2
net.sf.jabref.export.layout.format.CreateDocBookEditors,4
jabref-mrdlib.src.java.spl.filter.PdfFileFilter,1
net.sf.jabref.EntryTable,75
net.sf.jabref.external.DroppedFileHandler,16
net.sf.jabref.imports.CustomImportList,7
net.sf.jabref.export.layout.format.AuthorAndsReplacer,4
tests.net.sf.jabref.search.BasicSearchTest,3
net.sf.jabref.journals.ManageJournalsPanel,22
com.incors.plaf.kunststoff.KunststoffListUI,2
net.sf.jabref.HelpDialog,9
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.DBLPPlusPlusPortProxy,1
net.sf.jabref.RightClickMenu,41
gnu.dtools.ritopt.ArrayOption,2
net.sf.jabref.imports.BibsonomyScraper,2
net.sf.jabref.journals.UnabbreviateAction,4
net.sf.jabref.TableColumnsTab,17
antlr.StringUtils,1
net.sf.jabref.bst.BibtexPurify,1
net.sf.jabref.imports.CiteSeerImportHandler,3
net.sf.jabref.export.layout.format.FormatChars,3
antlr.ActionElement,2
net.sf.jabref.collab.EntryChange,8
antlr.DiagnosticCodeGenerator,2
net.sf.jabref.FieldTextMenu,14
net.sf.jabref.oo.ComparableMark,1
com.incors.plaf.kunststoff.KunststoffToolBarUI,1
net.sf.jabref.export.layout.format.HTMLChars,14
net.sf.jabref.export.layout.format.CreateBibORDFAuthors,2
net.sf.jabref.remote.RemoteListener,11
net.sf.jabref.export.layout.format.AuthorFirstLastCommas,3
net.sf.jabref.imports.AutosaveStartupPrompter,2
net.sf.jabref.export.AutoSaveManager,1
tests.net.sf.jabref.UtilTest,16
antlr.FileLineFormatter,2
net.sf.jabref.EntryEditorPrefsTab,4
net.sf.jabref.BibtexString,1
antlr.ToolErrorHandler,2
antlr.SemanticException,2
net.sf.jabref.FontSelectorDialog,7
net.sf.jabref.export.layout.format.AuthorFirstLastOxfordCommas,1
net.sf.jabref.FileHistory,8
net.sf.jabref.imports.BibtexParser,48
net.sf.jabref.oo.UndefinedBibtexEntry,1
net.sf.jabref.bst.PurifyFunction,2
net.sf.jabref.plugin.ManagePluginsDialog,6
net.sf.jabref.groups.AllEntriesGroup,17
net.sf.jabref.about.About2,3
tests.net.sf.jabref.export.layout.format.AuthorLastFirstAbbreviatorTester,6
antlr.StringLiteralSymbol,2
net.sf.jabref.bst.TextPrefixFunction,2
wsi.ra.tool.ResourceLoader,4
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.DBLPPlusPlusBindingStub,1
net.sf.jabref.oo.AutoDetectPaths,3
net.sf.jabref.gui.VerticalLabelUI,1
net.sf.jabref.groups.TreeSelection,2
net.sf.jabref.imports.InspecImporter,8
jabref-mrdlib.src.java.net.sf.jabref.Globals,1
antlr.ANTLRError,2
net.sf.jabref.oo.AlphanumericComparator,1
gnu.dtools.ritopt.OptionArrayable,1
jabref-mrdlib.src.java.spl.Tools,4
net.sf.jabref.BibtexStringComparator,4
net.sf.jabref.export.layout.format.NoSpaceBetweenAbbreviations,1
net.sf.jabref.gui.components.JPanelXBoxPreferredSize,2
antlr.collections.ASTEnumeration,1
antlr.AlternativeElement,2
net.sf.jabref.about.AnimationListener,2
spl.localization.LocalizationSupport,1
net.sf.jabref.net.Cookie,2
net.sf.jabref.gui.FieldSetComponent,5
net.sf.jabref.wizard.auximport.AuxCommandLine,6
tests.net.sf.jabref.util.XMPUtilTest,15
net.sf.jabref.plugin.util.Util,2
antlr.LexerSharedInputState,2
net.sf.jabref.journals.JournalsTab,2
net.sf.jabref.export.layout.format.LastPage,5
net.sf.jabref.export.layout.format.JournalAbbreviator,1
net.sf.jabref.ImportSettingsTab,3
net.sf.jabref.export.layout.format.WrapContent,2
tests.net.sf.jabref.export.layout.format.AuthorLastFirstAbbrOxfordCommasTest,1
net.sf.jabref.SearchManagerNoGUI,1
net.sf.jabref.sql.DbConnectAction,1
net.sf.jabref.imports.ImportInspectionCommandLine,3
antlr.actions.cpp.ActionLexer,1
net.sf.jabref.imports.ImportFormats,5
