Component, CC
org.apache.tomcat.util.codec.binary.Base32InputStream,1
org.apache.tomcat.util.bcel.classfile.LineNumber,11
org.apache.catalina.webresources.WarURLConnection,2
org.apache.tomcat.util.modeler.modules.MbeansDescriptorsIntrospectionSource,11
javax.servlet.http.HttpSessionIdListener,1
org.apache.catalina.tribes.util.Logs,3
org.apache.catalina.ssi.SSIServletRequestUtil,5
org.apache.tomcat.util.modeler.FixedNotificationFilter,4
org.apache.catalina.realm.MemoryRealm,15
org.apache.naming.resources.FileDirContext,17
org.apache.tomcat.util.scan.FileUrlJar,8
org.apache.catalina.storeconfig.StandardHostSF,6
org.apache.catalina.core.StandardWrapperFacade,6
org.apache.coyote.http11.filters.IdentityOutputFilter,8
org.apache.tomcat.util.http.parser.Token,2
org.apache.tomcat.websocket.server.WsHandshakeRequest,7
javax.el.MethodInfo,3
org.apache.tomcat.websocket.pojo.PojoPathParam,2
javax.servlet.FilterChain,3
org.apache.websocket.WsServlet,1
org.apache.catalina.realm.NullRealm,2
org.apache.tomcat.util.DomUtil,4
org.apache.tomcat.jni.Time,3
org.apache.tomcat.util.http.parser.AstAttribute,2
org.apache.coyote.RequestInfo,8
javax.net.websocket.extensions.FrameBuilder,3
org.apache.catalina.startup.SetNextNamingRule,5
javax.servlet.RequestDispatcher,7
org.apache.tomcat.jni.Lock,3
javax.servlet.jsp.JspContext,4
org.apache.catalina.Cluster,7
org.apache.catalina.deploy.MultipartDef,3
org.apache.tomcat.util.descriptor.web.LoginConfig,3
org.apache.catalina.ha.session.ClusterSessionListener,11
org.apache.tomcat.dbcp.pool2.impl.BaseObjectPoolConfig,6
org.apache.tomcat.util.codec.binary.Base64InputStream,1
org.apache.el.parser.AstNot,4
org.apache.tomcat.util.scan.StandardJarScanner,24
org.apache.tomcat.util.bcel.classfile.ConstantNameAndType,10
org.apache.coyote.InputBuffer,3
org.apache.catalina.deploy.ContextResourceEnvRef,4
org.apache.catalina.util.DateTool,7
org.apache.jasper.security.SecurityClassLoad,4
org.apache.tomcat.util.threads.Constants,4
org.apache.catalina.startup.Catalina,41
org.apache.catalina.ssi.SSIConditionalState,3
org.apache.tomcat.util.http.ServerCookie,4
org.apache.coyote.http11.upgrade.AprProcessor,5
org.apache.catalina.mbeans.UserMBean,6
org.apache.tomcat.websocket.WsSci,8
org.apache.catalina.deploy.LoginConfig,6
org.apache.jasper.tagplugins.jstl.core.If,4
org.apache.catalina.ThreadBindingListener,2
org.apache.tomcat.util.threads.TaskThread,5
org.apache.naming.factory.DataSourceLinkFactory,9
javax.servlet.AsyncEvent,4
javax.servlet.jsp.tagext.TagAttributeInfo,3
javax.servlet.UnavailableException,7
org.apache.tomcat.util.bcel.classfile.Constant,16
org.apache.tomcat.util.descriptor.tld.ImplicitTldRuleSet,1
org.apache.jasper.runtime.InstanceManagerFactory,6
javax.websocket.DecodeException,1
org.apache.naming.ContextBindings,9
org.apache.catalina.Globals,33
org.apache.tomcat.dbcp.pool2.KeyedPooledObjectFactory,2
javax.servlet.http.HttpSessionActivationListener,2
org.apache.catalina.connector.CoyoteOutputStream,12
org.apache.tomcat.util.descriptor.web.Constants,3
org.apache.catalina.ha.tcp.Constants,4
org.apache.catalina.util.SchemaResolver,7
org.apache.tomcat.util.Diagnostics,11
org.apache.jasper.xmlparser.XMLEncodingDetector,17
org.apache.tomcat.util.descriptor.web.ContextResourceEnvRef,3
org.apache.tomcat.util.bcel.classfile.ConstantCP,10
org.apache.jasper.util.Enumerator,7
org.apache.tomcat.websocket.PojoPathParam,2
org.apache.catalina.authenticator.DigestAuthenticator,31
org.apache.tomcat.util.descriptor.web.FragmentJarScannerCallback,5
org.apache.coyote.AsyncContextCallback,4
javax.servlet.jsp.ErrorData,4
org.apache.catalina.tribes.group.interceptors.SimpleCoordinator,5
