Component, CC
org.apache.tomcat.util.http.AcceptLanguage,2
javax.el.ResourceBundleELResolver,3
javax.servlet.SingleThreadModel,1
org.apache.catalina.session.FileStore,3
javax.servlet.annotation.WebFilter,1
org.apache.catalina.manager.ManagerServlet,16
org.apache.tomcat.util.modeler.modules.MbeansSource,2
org.apache.catalina.filters.SetCharacterEncodingFilter,1
org.apache.tomcat.util.bcel.classfile.AnnotationElementValue,2
org.apache.catalina.ha.authenticator.ClusterSingleSignOnListener,4
org.apache.catalina.ssi.SSIInclude,3
org.apache.jasper.compiler.JspRuntimeContext,14
org.apache.catalina.util.LifecycleMBeanBase,5
org.apache.tomcat.util.net.SSLUtil,2
org.apache.tomcat.util.digester.ArrayStack,2
javax.annotation.PostConstruct,1
org.apache.catalina.filters.RequestFilter,5
javax.el.ValueReference,1
org.apache.naming.factory.ResourceEnvFactory,3
org.apache.catalina.tribes.group.RpcMessage,3
org.apache.catalina.manager.Constants,5
javax.servlet.jsp.tagext.IterationTag,2
org.apache.juli.logging.LogConfigurationException,2
org.apache.catalina.ssi.ExpressionParseTree,2
org.apache.naming.ServiceRef,2
org.apache.el.parser.AstGreaterThanEqual,1
org.apache.catalina.ha.session.JvmRouteSessionIDBinderListener,4
org.apache.catalina.util.CharsetMapper,3
org.apache.catalina.util.SessionIdGenerator,4
org.apache.tomcat.util.net.URL,6
org.apache.catalina.util.StringParser,1
org.apache.tomcat.util.net.NioBlockingSelector,7
org.apache.catalina.tribes.tipis.ReplicatedMapEntry,1
org.apache.tomcat.util.net.AprEndpoint,70
org.apache.jasper.xmlparser.XMLStringBuffer,1
org.apache.el.ExpressionFactoryImpl,2
org.apache.coyote.Adapter,2
org.apache.catalina.filters.ExpiresFilter,11
org.apache.catalina.startup.CopyParentClassLoaderRule,2
org.apache.catalina.UserDatabase,1
org.apache.el.parser.AstMult,1
org.apache.catalina.valves.CometConnectionManagerValve,3
org.apache.coyote.ProtocolHandler,6
org.apache.catalina.tribes.transport.bio.util.FastQueue,2
org.apache.catalina.deploy.ContextTransaction,1
org.apache.tomcat.util.http.Cookies,2
org.apache.jasper.servlet.JasperLoader,1
org.apache.catalina.session.JDBCStore,11
org.apache.catalina.core.ApplicationHttpResponse,3
org.apache.tomcat.jni.Sockaddr,1
org.apache.naming.HandlerRef,1
org.apache.catalina.deploy.ContextService,2
org.apache.jasper.el.ELContextImpl,2
org.apache.catalina.core.ApplicationJspPropertyGroupDescriptor,1
javax.servlet.jsp.el.ELParseException,2
org.apache.coyote.AbstractProtocolHandler,25
org.apache.catalina.util.IOTools,2
javax.servlet.FilterConfig,3
javax.servlet.ServletInputStream,2
org.apache.naming.factory.MailSessionFactory,4
javax.servlet.Filter,1
org.apache.jasper.compiler.ParserController,6
org.apache.tomcat.util.http.fileupload.servlet.ServletFileUpload,2
javax.servlet.jsp.el.ImplicitObjectELResolver,4
org.apache.tomcat.jni.PoolCallback,1
org.apache.jasper.JspCompilationContext,13
org.apache.catalina.deploy.ContextLocalEjb,1
org.apache.tomcat.util.http.FastHttpDateFormat,2
org.apache.catalina.core.StandardWrapperValve,11
org.apache.catalina.valves.RequestFilterValve,4
org.apache.tomcat.util.digester.ObjectCreationFactory,1
org.apache.tomcat.jni.User,1
org.apache.catalina.realm.GenericPrincipal,3
org.apache.tomcat.util.buf.C2BConverter,2
org.apache.tomcat.util.bcel.classfile.ConstantInterfaceMethodref,3
org.apache.catalina.ant.BaseRedirectorHelperTask,4
org.apache.catalina.Context,29
javax.el.ELResolver,1
org.apache.catalina.mbeans.NamingResourcesMBean,1
org.apache.naming.NamingContext,7
org.apache.jasper.tagplugins.jstl.core.Redirect,1
org.apache.catalina.deploy.NamingResources,7
org.apache.tomcat.util.bcel.classfile.ElementValuePair,3
org.apache.catalina.tribes.group.RpcChannel,10
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask,3
org.apache.tomcat.util.bcel.classfile.AnnotationEntry,6
org.apache.jasper.el.ELContextWrapper,1
org.apache.catalina.startup.ClassLoaderFactory,10
org.apache.naming.resources.ResourceAttributes,4
org.apache.jasper.xmlparser.UTF8Reader,3
javax.xml.ws.WebServiceRef,1
org.apache.naming.factory.BeanFactory,4
org.apache.tomcat.util.http.fileupload.FileUploadBase,9
org.apache.catalina.tribes.ChannelInterceptor,2
org.apache.catalina.manager.util.BaseSessionComparator,1
org.apache.catalina.security.SecurityClassLoad,20
org.apache.catalina.util.URLEncoder,1
org.apache.catalina.core.ApplicationResponse,2
org.apache.catalina.tribes.util.TcclThreadFactory,1
org.apache.catalina.startup.Embedded,16
org.apache.jasper.servlet.JspServlet,11
org.apache.catalina.core.AprLifecycleListener,16
org.apache.el.parser.AstTrue,1
org.apache.coyote.http11.InternalNioOutputBuffer,10
org.apache.el.parser.AstDeferredExpression,1
org.apache.tomcat.jni.SSLSocket,1
org.apache.catalina.util.RequestUtil,6
org.apache.catalina.ha.deploy.UndeployMessage,4
org.apache.catalina.loader.WebappClassLoader,36
org.apache.catalina.core.StandardWrapper,33
org.apache.catalina.tribes.group.interceptors.TcpFailureDetector,3
