Component, CC
org.gjt.sp.jedit.indent.IndentRuleFactory,3
org.gjt.sp.jedit.gui.EditAbbrevDialog,2
org.gjt.sp.jedit.JEditActionContext,2
org.gjt.sp.jedit.keymap.KeymapManagerImpl,7
org.gjt.sp.jedit.bufferio.BufferAutosaveRequest,6
org.gjt.sp.jedit.gui.SelectLineRange,2
org.gjt.sp.jedit.gui.OptionsDialog,11
org.gjt.sp.jedit.io.FavoritesVFS,11
org.gjt.sp.jedit.bufferset.BufferSet,5
org.gjt.sp.jedit.gui.statusbar.ModeWidgetFactory,1
org.gjt.sp.jedit.menu.EnhancedCheckBoxMenuItem,7
org.gjt.sp.jedit.buffer.ExplicitFoldHandler,1
org.gjt.sp.jedit.ModeCatalogHandler,3
org.gjt.sp.jedit.options.GeneralOptionPane,12
org.gjt.sp.jedit.gui.HistoryModelSaver,2
org.gjt.sp.jedit.textarea.ColumnBlockLine,6
net.sourceforge.jarbundler.PropertyListWriter,3
org.gjt.sp.jedit.browser.AbstractBrowserTask,5
org.gjt.sp.jedit.pluginmgr.KeyboardCommand,3
org.gjt.sp.jedit.bsh.StringUtil,1
org.gjt.sp.util.WorkThreadFactory,2
org.gjt.sp.jedit.options.IntegerInputVerifier,3
org.gjt.sp.jedit.gui.ToolBarManager,3
org.gjt.sp.jedit.textarea.ElasticTabstopsTabExpander,6
org.gjt.sp.util.XMLUtilities,4
org.gjt.sp.jedit.gui.DefaultFocusComponent,2
org.jedit.keymap.Keymap,3
org.gjt.sp.jedit.BeanShellFacade,4
org.gjt.sp.jedit.ActionContext,2
org.gjt.sp.util.PropertiesBean,2
org.gjt.sp.jedit.gui.JCheckBoxList,2
org.gjt.sp.jedit.MiscUtilities,47
org.jedit.options.TabbedOptionDialog,9
org.gjt.sp.jedit.datatransfer.JEditTransferable,2
org.gjt.sp.jedit.gui.MarkerViewer,3
org.gjt.sp.jedit.textarea.Gutter,6
org.gjt.sp.jedit.gui.statusbar.ToolTipLabel,1
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,6
org.gjt.sp.jedit.options.BrowserContextOptionPane,5
