Component, CC
org.gjt.sp.jedit.gui.TaskMonitor,5
org.gjt.sp.jedit.gui.PingPongList,3
org.gjt.sp.jedit.gui.PanelWindowContainer,1
org.gjt.sp.jedit.gui.DockableWindowManager,3
org.gjt.sp.jedit.gui.ColorWellButton,2
org.gjt.sp.jedit.options.ViewOptionPane,2
org.gjt.sp.jedit.pluginmgr.PluginList,2
org.gjt.sp.jedit.options.AppearanceOptionPane,2
de.masters_of_disaster.ant.tasks.deb.Deb,1
org.gjt.sp.jedit.datatransfer.JEditRichText,3
org.gjt.sp.jedit.buffer.PositionManager,1
org.gjt.sp.jedit.io.VFSManager,5
org.gjt.sp.util.ReadWriteLock,2
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,4
org.gjt.sp.jedit.pluginmgr.InstallPanel,7
org.gjt.sp.jedit.browser.VFSFileNameField,1
org.gjt.sp.jedit.options.ToolBarOptionPane,1
org.gjt.sp.jedit.JEditBeanShellAction,1
org.gjt.sp.jedit.browser.DeleteBrowserTask,1
org.gjt.sp.util.TaskAdapter,1
org.gjt.sp.jedit.gui.ErrorListDialog,1
org.gjt.sp.jedit.bufferio.BufferLoadRequest,1
org.gjt.sp.jedit.textarea.MouseHandler,1
org.gjt.sp.jedit.gui.statusbar.RectSelectWidgetFactory,1
installer.Install,3
org.gjt.sp.util.WorkRequest,3
org.gjt.sp.jedit.bufferio.BufferSaveRequest,2
org.gjt.sp.jedit.menu.PluginsProvider,2
org.gjt.sp.jedit.msg.PluginUpdate,1
org.gjt.sp.util.ThreadUtilities,10
org.gjt.sp.jedit.browser.VFSFileChooserDialog,1
org.gjt.sp.jedit.syntax.DisplayTokenHandler,5
org.gjt.sp.jedit.syntax.ParserRule,4
org.gjt.sp.jedit.print.BufferPrintable,2
org.gjt.sp.jedit.textarea.SelectionManager,4
org.gjt.sp.jedit.pluginmgr.ManagePanel,4
org.gjt.sp.jedit.search.HyperSearchResult,4
